feature,importance
station_capacity,0.41942486
net_flow,0.17754294
station_type,0.11785687
target_weekday,0.10111128
type_x_dayofweek,0.06779361
netflow_x_weather,0.05221673
target_weekend,0.0149262035
morning_inflow,0.0136350775
is_weekend,0.008401966
inventory_x_weekend,0.006552733
total_inflow,0.0044437605
day_of_week,0.0033431016
weather_coef,0.002548681
evening_inflow,0.0021424056
total_outflow,0.0018699429
evening_outflow,0.001666748
inventory_rolling_mean_3,0.0010637889
morning_outflow,0.0010006641
temperature,0.0005169642
net_flow_lag1,0.00036682907
inventory_lag1,0.00035459254
inventory_rolling_std_3,0.00034872178
is_holiday,0.0002866978
current_inventory,0.00027912218
inventory_lag7,0.00022438123
day_of_month,8.132314e-05
